timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1543437486814,336,getAllPersonRequestLoad,200,OK,Grupa wątków 2-55,text,true,,321,131,100,101,336,0,1
1543437486811,353,getAllPersonRequestLoad,200,OK,Grupa wątków 2-21,text,true,,321,131,100,101,353,0,1
1543437486821,347,getAllPersonRequestLoad,200,OK,Grupa wątków 2-66,text,true,,321,131,100,101,347,0,0
1543437486825,356,getAllPersonRequestLoad,200,OK,Grupa wątków 2-83,text,true,,321,131,100,101,356,0,0
1543437486830,353,getAllPersonRequestLoad,200,OK,Grupa wątków 2-62,text,true,,321,131,100,101,353,0,1
1543437486835,352,getAllPersonRequestLoad,200,OK,Grupa wątków 2-51,text,true,,321,131,100,101,352,0,1
1543437486838,352,getAllPersonRequestLoad,200,OK,Grupa wątków 2-63,text,true,,321,131,100,101,352,0,0
1543437486839,355,getAllPersonRequestLoad,200,OK,Grupa wątków 2-53,text,true,,321,131,100,101,355,0,3
1543437486843,359,getAllPersonRequestLoad,200,OK,Grupa wątków 2-13,text,true,,321,131,100,101,359,0,1
1543437486846,365,getAllPersonRequestLoad,200,OK,Grupa wątków 2-100,text,true,,321,131,100,101,365,0,0
1543437486844,369,getAllPersonRequestLoad,200,OK,Grupa wątków 2-26,text,true,,321,131,100,101,369,0,1
1543437486846,373,getAllPersonRequestLoad,200,OK,Grupa wątków 2-57,text,true,,321,131,100,101,373,0,1
1543437486848,383,getAllPersonRequestLoad,200,OK,Grupa wątków 2-50,text,true,,321,131,100,101,383,0,1
1543437486850,384,getAllPersonRequestLoad,200,OK,Grupa wątków 2-69,text,true,,321,131,100,101,384,0,1
1543437486853,384,getAllPersonRequestLoad,200,OK,Grupa wątków 2-97,text,true,,321,131,100,101,384,0,0
